entry,exit_ema,vol_floor,side,net_%,cagr_%,sharpe,max_dd_%,profit_factor,trades,positive_month_%,months,selection_score
32,48,0.45,long,-87.77839443994682,-46.972895667754955,-1.5009598551905798,-90.1695935841332,0.9473531894287555,838.0,25.0,40.0,-2.4026557910319117
96,48,0.6,both,-93.90732341070304,-57.02077734119519,-1.4401463951516265,-96.36870719117519,0.9379352619320973,517.0,17.5,40.0,-2.4038334670633783
48,32,0.6,long,-81.79977542015733,-40.20108949792678,-1.5746202518846388,-85.23258947664628,0.9220487235978302,464.0,27.500000000000004,40.0,-2.4269461466511015
48,32,0.45,long,-84.84053788948302,-43.410910807233385,-1.5501928801329004,-87.74779144640301,0.9355473281385958,691.0,27.500000000000004,40.0,-2.4276707945969305
96,32,0.3,both,-94.76361724473115,-58.941098755082635,-1.4760683776283428,-97.07045734731253,0.9468135472575723,1116.0,20.0,40.0,-2.446772951101468
64,96,0.6,both,-96.83454178842747,-64.72751674484233,-1.4903926805124403,-97.59384142941394,0.9527726016872923,626.0,12.5,40.0,-2.4663310948065797
64,48,0.3,both,-96.95368959285115,-65.1335796303588,-1.4886828573003392,-98.1550613937894,0.9576449674030144,1343.0,27.500000000000004,40.0,-2.4702334712382332
64,64,0.6,both,-96.5756608815514,-63.88068996003622,-1.568665457116249,-97.64757043150942,0.9445778164797775,667.0,15.0,40.0,-2.545141161431343
48,16,0.3,long,-84.45971042562547,-42.985586206279535,-1.6756739605105908,-87.63141003500228,0.9241801612447557,1022.0,22.5,40.0,-2.5519880608606136
64,16,0.45,long,-81.70325419728911,-40.105556789672725,-1.712640048623265,-84.2969328533109,0.9076785027080293,686.0,22.5,40.0,-2.555609377156374
96,32,0.45,both,-95.3507329375784,-60.38857748251512,-1.6111037548526885,-96.79000462986167,0.9358334630782652,881.0,20.0,40.0,-2.5790038011513055
48,64,0.45,both,-98.03131994283004,-69.43763764420514,-1.6215037013841338,-98.6183746984476,0.955299902915117,1196.0,22.5,40.0,-2.6076874483686097
48,96,0.6,both,-97.96809463646406,-69.14467729916738,-1.6685881662608093,-98.48291969555542,0.9489991906712462,737.0,15.0,40.0,-2.653417363216364
64,48,0.45,both,-97.5628635197672,-67.40395285191697,-1.6724425553421305,-98.38789526634227,0.947754131147934,1068.0,20.0,40.0,-2.6563215080055533
48,16,0.6,long,-81.12037548522312,-39.536002347085855,-1.813129575092099,-84.5367167107661,0.8915747207648608,530.0,20.0,40.0,-2.65849674219976
96,32,0.6,both,-94.88746953101686,-59.23663772279302,-1.7158112719603642,-96.5703903331632,0.916265534617476,572.0,17.5,40.0,-2.681515175291996
32,32,0.3,long,-91.46232137710287,-52.413759091271494,-1.8017710127902333,-92.594221114816,0.9379444250166713,1168.0,25.0,40.0,-2.727713223938393
64,48,0.6,both,-97.12244724716977,-65.72814411345638,-1.7531496174769636,-98.15248004705906,0.9332621478283677,698.0,20.0,40.0,-2.7346744179475544
48,48,0.3,both,-98.61114947968638,-72.49201832806962,-1.8048468881906006,-99.1000657574434,0.9518315857815801,1602.0,25.0,40.0,-2.7958475457650347
48,16,0.45,long,-86.34866793826534,-45.1725194373195,-1.9195431090111421,-89.04370371045086,0.9042795291625492,804.0,22.5,40.0,-2.8099801461156506
32,32,0.6,long,-89.13681732820103,-48.82538362974292,-1.9415175019786002,-91.04741724189437,0.9123751771694372,600.0,22.5,40.0,-2.851991674397544
48,64,0.6,both,-98.36067833563207,-71.0805027717708,-1.89309319355129,-98.83986584713308,0.9369571193212242,794.0,10.0,40.0,-2.881491852022621
