family,anchor,opening,z_entry,max_hold,side,net_%,cagr_%,sharpe,max_dd_%,profit_factor,trades,positive_month_%,months,selection_score
VWAP_MR,13,8,2.0,8,both,-96.40330971715943,-63.34141861855527,-2.543810699050597,-96.52644161986386,0.9096781082890182,1831.125,15.0,40,-3.5090751152492357
VWAP_MR,13,8,1.5,4,long,-96.9509893225694,-65.12425522309948,-2.562858083244707,-96.98610291870925,0.891445345947479,1851.875,7.5,40,-3.5327191124317996
VWAP_MR,0,8,2.0,8,both,-96.46511166433736,-63.532673606202195,-2.7050306562435167,-96.4990531580999,0.9138282445394234,2000.625,10.0,40,-3.6700211878245157
VWAP_MR,13,8,2.5,4,both,-95.2003791905458,-60.00626080586808,-2.7563283493387045,-95.40257731874777,0.8693280987258943,1941.0,7.5,40,-3.7103541225261822
VWAP_MR,0,8,1.5,16,both,-97.65649958023192,-67.78709330150143,-2.822815581923506,-97.69992092683046,0.9256341233071603,1617.5406315906316,7.5,40,-3.7998147911918108
VWAP_MR,13,8,1.5,8,both,-99.1839738825063,-76.5707580129024,-3.0436278463573467,-99.21513986304751,0.9162853621769881,2491.9375,7.5,40,-4.035779244987822
VWAP_MR,0,8,2.5,4,both,-96.28735661418997,-62.9886882298579,-3.103711751147671,-96.29589274177448,0.8689661222894611,2203.25,10.0,40,-4.066670678565416
VWAP_MR,0,8,1.5,8,both,-99.54318774026743,-80.33402311057795,-3.4944778674962094,-99.54760247327788,0.9090132515128938,2668.5,0.0,40,-4.489953892228988
VWAP_MR,13,8,2.0,4,both,-99.50992971093406,-79.91246893088427,-3.69571423376507,-99.51834461260316,0.8705236005483703,2952.375,2.5,40,-4.690897679891101
VWAP_MR,0,8,2.0,4,both,-99.46341252147096,-79.35513795338956,-3.788012348592567,-99.46586378865314,0.8783047853315678,3274.0,5.0,40,-4.782670986479099
VWAP_MR,13,8,1.5,4,both,-99.94692875909621,-89.72996660894032,-4.443596547487385,-99.9480151352609,0.880847678761587,3888.375,0.0,40,-5.4430766988399935
