date,BH,REG,REG100,LEV,EQRISK
2011-02-18,1.213936755645793,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-21,1.227201432247521,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-22,1.216216104476646,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-23,1.2091334232224682,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-24,1.1702955646160498,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-25,1.179379516749679,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-02-28,1.1859841124044739,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-01,1.2280241564325138,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-03,1.231115262688074,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-04,1.231682276769377,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-07,1.2148706675786323,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-08,1.2276905931889743,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-09,1.2299588666777566,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-10,1.2218199018190372,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-11,1.2109346864539379,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-14,1.2300700544256031,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-15,1.2118685983867774,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-16,1.2255446913718946,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-17,1.2112014718996988,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-18,1.1949792446379686,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-21,1.1929889405188026,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-22,1.2039075990736838,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-23,1.2186733102713392,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-24,1.2280464156984403,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-25,1.257366646521914,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-28,1.2647050378797817,1.4561450339051225,1.714941848204757,1.1887266406069388,2.1797601102971513
2011-03-29,1.275623696434663,1.4679883910538967,1.714941848204757,1.1956851776501058,2.1797601102971513
2011-03-30,1.287031515930998,1.4811165154644608,1.714941848204757,1.2033552100310207,2.1797601102971513
2011-03-31,1.2972830479988002,1.4929139837210577,1.7277443235474483,1.2115322130481145,2.206701790294715
2011-04-01,1.2955707132492504,1.4909434280305645,1.725463806085888,1.2101589104597428,2.2014244288181444
2011-04-04,1.3138945409597784,1.5120304981703785,1.7498678013137323,1.224786098559077,2.2533195898946574
2011-04-05,1.314250254887459,1.5124398539371544,1.7503415473634514,1.2250602685136067,2.2539492182146925
2011-04-06,1.3101808267489918,1.5077567539898935,1.7449218115724325,1.2216616608086712,2.241835602699192
2011-04-07,1.3088354984327633,1.5062085494873436,1.7431300797177252,1.2205444629571556,2.2375775896311327
2011-04-08,1.299117645838267,1.4950252398368833,1.7301876731372088,1.2123455214814793,2.2092893299153005
2011-04-11,1.2865979488634673,1.4806175662652128,1.713513721053959,1.201694484677875,2.1731519019978727
2011-04-13,1.3145727427889276,1.5128109731762642,1.750771042408526,1.2255465421678577,2.2521121765205865
2011-04-15,1.2952371500057107,1.4905595632822324,1.725019560705931,1.2091639822948128,2.1960957287956258
2011-04-18,1.2740114740908888,1.466133044770292,1.6967508331280423,1.1922025625024442,2.135281846635852
2011-04-19,1.2766021268993546,1.4691143693244755,1.7002011099901455,1.1941907465055481,2.1421985922998337
2011-04-20,1.301263547655347,1.497494744726624,1.733045622826037,1.2143550113242518,2.2113106539270717
2011-04-21,1.30861312293707,1.505952639655122,1.7428339161310873,1.2200727333821013,2.2318948199935513
2011-04-25,1.3063448494482879,1.5033423093840754,1.7398129897029326,1.2182923566281054,2.225007928981077
2011-04-26,1.3049883372082038,1.5017812344163308,1.7380063629022175,1.2172158847303747,2.2207386270980027
2011-04-27,1.2973163826067966,1.4929523452046956,1.7277887191632182,1.2111502039710498,2.1984276208346007
2011-04-28,1.2865423549895438,1.4805535888071568,1.7134396801572993,1.2017573892147264,2.1673856630968555
2011-04-29,1.278547912486668,1.4713535803564117,1.702792541373225,1.1949319866525752,2.144391678131275
2011-05-02,1.2678293701615535,1.4590186764609556,1.6885173986528392,1.1857410508131956,2.113830005437681
2011-05-03,1.2375752274052405,1.4582891671227252,1.6482244005352362,1.1851972621547897,2.0287609020852253
2011-05-04,1.2313264542599114,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-05,1.2141368718755596,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-06,1.2345064889973916,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-09,1.234428635857542,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-10,1.2322382155086093,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-11,1.2375307088733878,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-12,1.2199853039795703,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-13,1.2330165297435347,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-16,1.2228428508155818,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-17,1.2094892457319335,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-18,1.2054086336696108,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-19,1.2070764498873081,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-20,1.220029822511423,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-23,1.1978366828921947,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-24,1.199682464655517,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-25,1.1894754511195673,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-26,1.2035740358301439,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-27,1.21775047368057,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-05-30,1.2170833471934912,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-06-01,1.243523771915027,1.4582891671227252,1.6474002883349688,1.1851972621547897,2.0270576295898275
2011-06-02,1.2342618542357722,1.4582891671227252,1.634306548646771,1.1851972621547897,1.9996496411452118
2011-06-03,1.2267900158641318,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-06,1.23019231751552,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-07,1.2355515886780772,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-08,1.2290360300869876,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-09,1.2277461870628974,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-10,1.2199074508397205,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-13,1.2192403243526417,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-14,1.223176414059121,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-15,1.2113905127873943,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-16,1.2001049563809767,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-17,1.1933558383703384,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-20,1.1692280970876523,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-21,1.1732197806680549,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-22,1.1737645354834318,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-23,1.183037637086542,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-24,1.2166719308101022,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-27,1.2289804362130643,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-28,1.2331387928334516,1.4582891671227252,1.6334893953724476,1.1851972621547897,1.9979708093860362
2011-06-29,1.2454028882863464,1.4582891671227252,1.6489184049909544,1.1851972621547897,2.0293087712063675
2011-06-30,1.2558433526600599,1.4582891671227252,1.6627416215776423,1.1851972621547897,2.05751876231856
2011-07-01,1.251351432796133,1.4582891671227252,1.656794301712691,1.1851972621547897,2.0448010438032695
2011-07-04,1.256532738413065,1.4582891671227252,1.6636543710717702,1.1851972621547897,2.0586594038131243
2011-07-05,1.2524410510086714,1.4582891671227252,1.658236960583942,1.1851972621547897,2.047042466393336
2011-07-06,1.2509622756786702,1.4582891671227252,1.656279056132764,1.1851972621547897,2.0426254815979523
2011-07-07,1.2739781394828915,1.4582891671227252,1.6867521518598552,1.1851972621547897,2.105371408338414
2011-07-08,1.2587898279779914,1.4582891671227252,1.6666427666828012,1.1851972621547897,2.0628563028078855
2011-07-11,1.2488830430775841,1.4582891671227252,1.6535261438531839,1.1851972621547897,2.0352345793637574
2011-07-12,1.2288803238072885,1.4582891671227252,1.6270424635398666,1.1851972621547897,1.9801430791868966
2011-07-13,1.242067255850952,1.4582891671227252,1.6262289423080967,1.1851972621547897,1.9784806244144961
2011-07-15,1.2410999007283308,1.4582891671227252,1.6241492773418014,1.1851972621547897,1.973885638021324
2011-07-18,1.2379754598647736,1.4582891671227252,1.6200605183565937,1.1851972621547897,1.9651959365922784
